"project_number","building_id","project_description","school_name","school_address","sed_approved_final_cost","fcrtosed","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"16K8","Q101","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","P.S. 101 - QUEENS","2 RUSSELL PLACE","468520.00","2021-06-07T00:00:00.000","QUEENS","11375","40.715462","-73.843974","406","29","723","4078312","4032700001","Forest Hills"
"16KT","Q185","Asbestos  abatement","J.H.S. 185 - QUEENS","147-26 25 DRIVE","57425.00","2021-06-07T00:00:00.000","QUEENS","11354","40.775253","-73.819347","407","19","1047","4108664","4048020001","Murray Hill"
"16K6","K157","Emergency Stabilization","P.S. 157 - BROOKLYN","850 KENT AVENUE","222438.00","2021-06-07T00:00:00.000","BROOKLYN","11205","40.695417","-73.959571","303","33","1237","3054671","3018970013","Bedford"
"16L0","Q707","Asbestos  abatement","R. F. KENNEDY COMM. MIDDLE/HS-","75-40 PARSONS BOULEVARD","65418.00","2021-06-07T00:00:00.000","QUEENS","11366","40.725603","-73.810697","408","24","77908","4147452","4068090056","Kew Gardens Hills"
"17Q4","R007","Asbestos  abatement","I.S. 7 - STATEN ISLAND","1270 HUGUENOT AVENUE","14040.00","2021-06-07T00:00:00.000","STATEN IS","10312","40.523757","-74.185941","503","51","198","5082345","5065440001","Annadale-Huguenot-Prince's Bay-Eltingville"
"17QA","X149","Asbestos  abatement","I.S. 221 - BRONX","360 EAST 145 STREET","20165.00","2021-06-07T00:00:00.000","BRONX","10454","40.813983","-73.920782","201","8","43","2097038","2023060054","Mott Haven-Port Morris"
"16L5","K154","Asbestos  abatement","P.S. 154 - BROOKLYN","1625 11TH AVENUE","88502.00","2021-06-07T00:00:00.000","BROOKLYN","11215","40.657472","-73.97618","307","39","171","3121871","3052570001","Windsor Terrace"
"16KX","K203","Asbestos  abatement","P.S. 203 - BROOKLYN","5101 AVENUE M","97284.00","2021-06-07T00:00:00.000","BROOKLYN","11234","40.621436","-73.925989","318","46","680","3218626","3078490001","Flatlands"
"16JZ","Q400","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","Q752 SPED - QUEENS","156-10 BAISLEY BLVD","776645.00","2021-06-07T00:00:00.000","QUEENS","11434","40.675633","-73.783342","412","28","294","4265978","4122610001","Springfield Gardens North"
"16II","Q455","Asbestos  abatement","NEWTOWN HS - QUEENS","48-01 90 STREET","23516.00","2021-06-07T00:00:00.000","QUEENS","11373","40.741122","-73.874721","404","25","461","4045629","4018490001","Elmhurst"
"16KR","K210","Asbestos  abatement","I.S. 394 - BROOKLYN","188 ROCHESTER AVENUE","95320.00","2021-06-07T00:00:00.000","BROOKLYN","11213","40.672762","-73.927973","308","36","347","3036289","3013670022","Crown Heights North"
"16HA","M827","Asbestos  abatement","PATHWAYS TO GRADUATION - CITYW","500 8TH AVENUE","168058.00","2021-06-07T00:00:00.000","MANHATTAN","10018","40.752943","-73.992904","105","3","109","1014421","1007850001","Midtown-Midtown South"
"17PC","Q053","Asbestos  abatement","I.S. 53 - QUEENS","10-45 NAMEOKE STREET","603449.00","2021-06-07T00:00:00.000","QUEENS","11691","40.603622","-73.749097","414","31","103202","4298234","4155570025","Far Rockaway-Bayswater"
"16HG","K211","Asbestos  abatement","I.S. 211 - BROOKLYN","1001 EAST 100 STREET","209266.00","2021-06-07T00:00:00.000","BROOKLYN","11236","40.643278","-73.896212","318","46","988","3326732","3082270001","Canarsie"
"16HM","Q440","Asbestos  abatement","FOREST HILLS HS - QUEENS","67-01 110 STREET","38143.00","2021-06-07T00:00:00.000","QUEENS","11375","40.729402","-73.845637","406","29","747","4052143","4021890002","Forest Hills"
"17OY","Q435","Asbestos  abatement","MARTIN VAN BUREN HS - QUEENS","230-17 HILLSIDE AVENUE","14917.00","2021-06-07T00:00:00.000","QUEENS","11427","40.733066","-73.738756","413","23","1301","4166101","4079300002","Bellerose"
"17PE","K142","Asbestos  abatement","I.S. 448 - BROOKLYN","610 HENRY STREET","254800.00","2021-06-07T00:00:00.000","BROOKLYN","11231","40.68007","-74.001377","306","39","63","3336036","3003690001","Carroll Gardens-Columbia Street-Red Hook"
"16KU","M200","Asbestos  abatement","P.S. 200 - MANHATTAN","2589 7TH AVENUE","19093.00","2021-06-07T00:00:00.000","MANHATTAN","10039","40.824495","-73.936997","110","9","236","1060198","1020160100","Central Harlem North-Polo Grounds"
"17QH","Q040","Asbestos  abatement","P.S. 40 - QUEENS","109-20 UNION HALL STREET","97306.00","2021-06-07T00:00:00.000","QUEENS","11433","40.694125","-73.790675","412","28","260","4263341","4121510001","South Jamaica"
"16I5","K020","Asbestos  abatement","P.S. 20 - BROOKLYN","225 ADELPHI STREET","28554.00","2021-06-07T00:00:00.000","BROOKLYN","11205","40.690765","-73.971376","302","35","183","3058531","3020910003","Fort Greene"
"17QK","Q455","Asbestos  abatement","NEWTOWN HS - QUEENS","48-01 90 STREET","12158.00","2021-06-07T00:00:00.000","QUEENS","11373","40.741122","-73.874721","404","25","461","4045629","4018490001","Elmhurst"
"16IB","Q095","Asbestos  abatement","P.S. 95 - QUEENS","179-01 90TH AVENUE","22526.00","2021-06-07T00:00:00.000","QUEENS","11432","40.710624","-73.783423","412","27","468","4446042","4099140001","Jamaica"
"16IE","M017","Asbestos  abatement","P.S. 212 - MANHATTAN","328 WEST 48 STREET","38238.00","2021-06-07T00:00:00.000","MANHATTAN","10036","40.761448","-73.988019","104","3","127","1025092","1010380014","Clinton"
"17PP","Q329","Asbestos  abatement","EAST ELMHURST COMMUNITY SCHOOL","26-25 97TH STREET","13567.00","2021-06-07T00:00:00.000","QUEENS","11369","40.761557","-73.872239","403","21","361","4437125","4013770016","East Elmhurst"
"17PM","R008","Asbestos  abatement","P.S. 8 - STATEN ISLAND","112 LINDENWOOD ROAD","39260.00","2021-06-07T00:00:00.000","STATEN IS","10308","40.547692","-74.151755","503","51","15601","5066295","5052210001","Great Kills"
"17R1","Q032","Asbestos  abatement","P.S. 32 - QUEENS","171-11 35 AVENUE","29229.00","2021-06-07T00:00:00.000","QUEENS","11358","40.764763","-73.794683","407","19","1141","4118954","4052560001","Murray Hill"
"17R2","X057","Asbestos  abatement","P.S. 57 - BRONX","2111 CROTONA AVENUE","47623.00","2021-06-07T00:00:00.000","BRONX","10457","40.848472","-73.888561","206","15","373","2012359","2030810026","East Tremont"
"16KQ","X048","Asbestos  abatement","P.S. 48 - BRONX","1290 SPOFFORD AVENUE","21709.00","2021-06-07T00:00:00.000","BRONX","10474","40.814425","-73.886953","202","17","93","2006680","2027660001","Hunts Point"
"17R8","X081","Asbestos  abatement","P.S. 81 - BRONX","5550 RIVERDALE AVENUE","26758.00","2021-06-07T00:00:00.000","BRONX","10471","40.903553","-73.905229","208","11","337","2084806","2058501550","North Riverdale-Fieldston-Riverdale"
"16KM","Q126","Asbestos  abatement","I.S. 126 - QUEENS","31-51 21 STREET","39910.00","2021-06-07T00:00:00.000","QUEENS","11106","40.766264","-73.930709","401","22","77","4006382","4005530001","Astoria"
"16KI","X073","Asbestos  abatement","P.S. 73 - BRONX","1020 ANDERSON AVENUE","143928.00","2021-06-07T00:00:00.000","BRONX","10452","40.832706","-73.926838","204","8","189","2003051","2025040082","Highbridge"
"16KW","K035","Asbestos  abatement","I.S. 35 - BROOKLYN","272 MACDONOUGH STREET","76598.00","2021-06-07T00:00:00.000","BROOKLYN","11233","40.681896","-73.935963","303","36","273","3047054","3016740011","Stuyvesant Heights"
"16KV","K306","Asbestos  abatement","P.S. 306 - BROOKLYN","970 VERMONT STREET","513245.00","2021-06-07T00:00:00.000","BROOKLYN","11207","40.655997","-73.886547","305","42","1104","3097873","3043920001","East New York"
"16L1","Q485","Asbestos  abatement","GROVER CLEVELAND HS - QUEENS","21-27 HIMROD STREET","11700.00","2021-06-07T00:00:00.000","QUEENS","11385","40.711033","-73.908814","405","30","595","4080227","4033630001","Ridgewood"
"17RN","K212","Asbestos  abatement","P.S. 212 - BROOKLYN","87 BAY 49 STREET","34043.00","2021-06-07T00:00:00.000","BROOKLYN","11214","40.587616","-73.985948","313","47","314","3187407","3069170001","Gravesend"
"16L3","X098","Asbestos  abatement","I.S. 98 - BRONX","1619 BOSTON RD","67730.00","2021-06-07T00:00:00.000","BRONX","10460","40.8359","-73.890458","203","17","155","2009867","2029390093","Crotona Park East"
"17RT","K495","Asbestos  abatement","ORIGINS HIGH SCHOOL","3000 AVENUE X","83383.00","2021-06-07T00:00:00.000","BROOKLYN","11235","40.594124","-73.937696","315","48","626","3203631","3074250002","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"17T0","K176","Asbestos  abatement","P.S. 176 - BROOKLYN","1225 69 STREET","26101.00","2021-06-07T00:00:00.000","BROOKLYN","11219","40.624611","-74.005378","310","43","196","3143190","3057740001","Dyker Heights"
"17T3","Q074","Asbestos  abatement","I.S. 74 - QUEENS","61-15 OCEANIA STREET","26317.00","2021-06-07T00:00:00.000","QUEENS","11364","40.745201","-73.767446","411","23","1367","4163953","4077230001","Oakland Gardens"
"17RR","K058","Asbestos  abatement","P.S. 58 - BROOKLYN","330 SMITH STREET","20825.00","2021-06-07T00:00:00.000","BROOKLYN","11231","40.680415","-73.994754","306","39","77","3007547","3004490015","Carroll Gardens-Columbia Street-Red Hook"
"17TD","K261","Asbestos  abatement","P.S. 261 - BROOKLYN","314 PACIFIC STREET","101750.00","2021-06-07T00:00:00.000","BROOKLYN","11201","40.687466","-73.988288","302","33","43","3001070","3001880014","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"17TN","R600","Asbestos  abatement","RALPH R. MCKEE CAREER AND TECH","290 ST MARKS PLACE","23902.00","2021-06-07T00:00:00.000","STATEN IS","10301","40.642793","-74.07873","501","49","9","5000314","5000190004","West New Brighton-New Brighton-St. George"
"17TM","Q014","Asbestos  abatement","P.S. 14 - QUEENS","107-01 OTIS AVENUE","26638.00","2021-06-07T00:00:00.000","QUEENS","11368","40.74056","-73.854131","404","21","439","4437311","4019540037","Corona"
"17TT","Q130","Asbestos  abatement","P.S. 130 - QUEENS","200-01 42 AVENUE","12070.00","2021-06-07T00:00:00.000","QUEENS","11361","40.759517","-73.784029","411","19","1463","4137034","4062030001","Bayside-Bayside Hills"
"17TZ","X082","Asbestos  abatement","I.S. 232 - BRONX","1700 MACOMBS ROAD","73961.00","2021-06-07T00:00:00.000","BRONX","10453","40.849532","-73.916077","205","14","21502","2008460","2028660070","University Heights-Morris Heights"
"17U6","K251","Asbestos  abatement","P.S. 251 - BROOKLYN","1037 EAST 54 STREET","100202.00","2021-06-07T00:00:00.000","BROOKLYN","11234","40.632524","-73.924417","318","46","722","3214729","3077580001","Flatlands"
"17U9","M510","Asbestos  abatement","CASCADES CTR FOR TCHING & LNG","198 FORSYTH STREET","77943.00","2021-06-07T00:00:00.000","MANHATTAN","10002","40.72252","-73.990728","103","1","3601","1005626","1004220072","Chinatown"
"17UD","Q445","Asbestos  abatement","WILLIAM C. BRYANT HS - QUEENS","48-10 31 AVENUE","42195.00","2021-06-07T00:00:00.000","QUEENS","11103","40.75823","-73.910514","401","26","163","4013655","4007380002","Astoria"
"17UG","Q038","Asbestos  abatement","P.S. 38 - QUEENS","135-21 241 STREET","23842.00","2021-06-07T00:00:00.000","QUEENS","11422","40.671561","-73.734043","413","31","638","4284236","4132220001","Rosedale"
"183V","X070","Asbestos  abatement","P.S. 70 - BRONX","1691 WEEKS AVENUE","110623.00","2021-06-07T00:00:00.000","BRONX","10457","40.844253","-73.907616","204","15","22902","2007387","2027930028","Mount Hope"
"1846","R016","Asbestos  abatement","P.S. 16 - STATEN ISLAND","195 DANIEL LOW TERRACE","16340.00","2021-06-07T00:00:00.000","STATEN IS","10301","40.63943","-74.080005","501","49","11","5000291","5000180015","West New Brighton-New Brighton-St. George"
"1849","K176","Asbestos  abatement","P.S. 176 - BROOKLYN","1225 69 STREET","40837.00","2021-06-07T00:00:00.000","BROOKLYN","11219","40.624611","-74.005378","310","43","196","3143190","3057740001","Dyker Heights"
"184B","K410","Asbestos  abatement","ABRAHAM LINCOLN HS - BROOKLYN","2800 OCEAN PARKWAY","14109.00","2021-06-07T00:00:00.000","BROOKLYN","11235","40.581681","-73.967308","313","47","354","3196293","3072540001","West Brighton"
"16L4","K176","Asbestos  abatement","P.S. 176 - BROOKLYN","1225 69 STREET","17215.00","2021-06-07T00:00:00.000","BROOKLYN","11219","40.624611","-74.005378","310","43","196","3143190","3057740001","Dyker Heights"
"184G","K154","Asbestos  abatement","P.S. 154 - BROOKLYN","1625 11 AVENUE","42583.00","2021-06-07T00:00:00.000","BROOKLYN","11215","40.657472","-73.97618","307","39","171","3121871","3052570001","Windsor Terrace"
"16K0","M188","Asbestos  abatement","P.S. 188 - MANHATTAN","442 EAST HOUSTON STREET","227396.00","2021-06-07T00:00:00.000","MANHATTAN","10002","40.719598","-73.977904","103","2","20","1004349","1003560100","Lower East Side"
"16HE","K600","Asbestos  abatement","CLARA BARTON HS - K","901 CLASSON AVENUE","25404.00","2021-06-07T00:00:00.000","BROOKLYN","11225","40.669567","-73.961962","309","35","213","3029702","3011880001","Crown Heights South"
"188D","K048","Asbestos  abatement","P.S. 48 - BROOKLYN","6015 18 AVENUE","114516.00","2021-06-07T00:00:00.000","BROOKLYN","11204","40.621871","-73.987396","312","44","244","3132140","3055190001","Borough Park"
"188L","Q415","Asbestos  abatement","BENJAMIN N. CARDOZO HS - QUEEN","57-00 223 STREET","213893.00","2021-06-07T00:00:00.000","QUEENS","11364","40.752333","-73.75599","411","23","138501","4161735","4075290001","Oakland Gardens"
"188R","X420","Asbestos  abatement","WORLD CULTURES HS - X","1300 BOYNTON AVENUE","65436.00","2021-06-07T00:00:00.000","BRONX","10472","40.831601","-73.878912","209","18","56","2027459","2038640001","West Farms-Bronx River"
"188V","R049","Asbestos  abatement","I.S. 49 - STATEN ISLAND","101 WARREN STREET","63994.00","2021-06-07T00:00:00.000","STATEN IS","10304","40.620347","-74.081643","501","49","29","5014184","5005560080","Stapleton-Rosebank"
"1891","X167","Asbestos  abatement","P.S. 214 - BRONX","1970 WEST FARMS ROAD","33931.00","2021-06-07T00:00:00.000","BRONX","10460","40.839565","-73.880358","206","17","60","2094603","2030210038","Crotona Park East"
"18CC","K288","Asbestos  abatement","P.S. 288 - BROOKLYN","2950 WEST 25 STREET","36072.00","2021-06-07T00:00:00.000","BROOKLYN","11224","40.574411","-73.99194","313","47","342","3189538","3070540045","Seagate-Coney Island"
"17MP","K090","Asbestos  abatement","P.S. 90 - BROOKLYN","2840 WEST 12 STREET","85187.00","2021-06-07T00:00:00.000","BROOKLYN","11224","40.578255","-73.979628","313","47","350","3196558","3072660040","West Brighton"
"18CU","M028","Asbestos  abatement","P.S. 28 - MANHATTAN","475 WEST 155 STREET","79078.00","2021-06-07T00:00:00.000","MANHATTAN","10032","40.831227","-73.942143","112","7","239","1076739","1021070026","Washington Heights South"
"18CX","Q178","Asbestos  abatement","P.S. 178 - QUEENS","189-10 RADNOR ROAD","11861.00","2021-06-07T00:00:00.000","QUEENS","11423","40.724479","-73.777454","408","23","1277","4156558","4072770001","Jamaica Estates-Holliswood"
"18D2","Q415","Asbestos  abatement","BENJAMIN N. CARDOZO HS - QUEEN","57-00 223 STREET","19989.00","2021-06-07T00:00:00.000","QUEENS","11364","40.752333","-73.75599","411","23","138501","4161735","4075290001","Oakland Gardens"
"17KO","Q159","Asbestos  abatement","P.S. 159 - QUEENS","205-01 33 AVENUE","90579.00","2021-06-07T00:00:00.000","QUEENS","11361","40.76936","-73.783943","411","19","1099","4134525","4060380013","Bayside-Bayside Hills"
"18DK","K002","Indoor Building Improvement - Conversion of Administrative Space into Classrooms","I.S. 2 - BROOKLYN","655 PARKSIDE AVENUE","205041.00","2021-06-07T00:00:00.000","BROOKLYN","11226","40.656183","-73.951583","309","40","802","3378201","3050500051","Prospect Lefferts Gardens-Wingate"
"17MZ","X205","Asbestos  abatement","P.S. 205 - BRONX","2475 SOUTHERN BLVD","18379.00","2021-06-07T00:00:00.000","BRONX","10458","40.855263","-73.881139","206","15","393","2086808","2031150021","Belmont"
"17TA","X024","Asbestos  abatement","P.S. 24 - BRONX","660 WEST 236 STREET","24245.00","2021-06-07T00:00:00.000","BRONX","10463","40.887111","-73.913697","208","11","309","2085869","2059170140","North Riverdale-Fieldston-Riverdale"
"17TG","Q192","Asbestos  abatement","I.S. 192 - QUEENS","109-89 204 STREET","215256.00","2021-06-07T00:00:00.000","QUEENS","11412","40.70646","-73.753579","412","27","508","4234318","4109440301","Hollis"
"17TH","Q124","Asbestos  abatement","P.S. 124 - QUEENS","129-15 150 AVENUE","71322.00","2021-06-07T00:00:00.000","QUEENS","11420","40.665058","-73.811701","410","28","84602","4257530","4118820001","South Ozone Park"
"17T1","K180","Asbestos  abatement","P.S. 180 - BROOKLYN","5601 16TH AVENUE","31191.00","2021-06-07T00:00:00.000","BROOKLYN","11204","40.627029","-73.989672","312","44","470","3130809","3054920001","Borough Park"
"17TK","M198","Asbestos  abatement","P.S. 198 - MANHATTAN","1700 3RD AVENUE","319637.00","2021-06-07T00:00:00.000","MANHATTAN","10128","40.784826","-73.949611","108","5","15801","1048492","1015240023","Upper East Side-Carnegie Hill"
"17NQ","K154","Asbestos  abatement","P.S. 154 - BROOKLYN","1625 11TH AVENUE","453965.00","2021-06-07T00:00:00.000","BROOKLYN","11215","40.657472","-73.97618","307","39","171","3121871","3052570001","Windsor Terrace"
"17TJ","Q042","Asbestos  abatement","P.S. 42 - QUEENS","488 BEACH 66 STREET","288965.00","2021-06-07T00:00:00.000","QUEENS","11692","40.594538","-73.795304","414","31","964","4302817","4160390014","Hammels-Arverne-Edgemere"
"16RV","K106","Asbestos  abatement","P.S. 106 - BROOKLYN","1328 PUTNAM AVENUE","42006.00","2021-06-07T00:00:00.000","BROOKLYN","11221","40.693879","-73.913056","304","37","435","3077286","3033770001","Bushwick North"
"16RY","X005","Asbestos  abatement","P.S. 5 - BRONX","564 JACKSON AVENUE","46743.00","2021-06-07T00:00:00.000","BRONX","10455","40.813728","-73.908886","201","8","73","2004548","2026420001","Melrose South-Mott Haven North"
"17OA","X229","Asbestos  abatement","THE NEW AMERICAN ACADEMY AT RO","275 HARLEM RIVER PARK BRIDGE","121239.00","2021-06-07T00:00:00.000","BRONX","10453","40.852536","-73.921467","205","16","53","2009253","2028820130","University Heights-Morris Heights"
"18NE","K106","Asbestos  abatement","P.S. 106 - BROOKLYN","1328 PUTNAM AVENUE","32569.00","2021-06-07T00:00:00.000","BROOKLYN","11221","40.693879","-73.913056","304","37","435","3077286","3033770001","Bushwick North"
"18NN","Q117","Asbestos  abatement","P.S. 117 - QUEENS","85-15 143RD STREET","39063.00","2021-06-07T00:00:00.000","QUEENS","11435","40.709463","-73.813376","408","24","232","4208040","4097230150","Briarwood-Jamaica Hills"
