"the_geom","address","suffix","street","onstr","fromstr","tostr","side","site","spp","dbh","wires","pittype","ward"
"POINT (-71.43343087124656 41.81440366569454)","31",,"WILLOW ST","WILLOW ST","PARADE ST","MESSER ST","Front","1","Pyrus calleryana","6.5","No","Sidewalk Pit","13.0"
"POINT (-71.42346445310338 41.79567511227313)","225",,"LENOX AVE","LENOX AVE","MELROSE ST","ELMWOOD AVE","Front","1","Acer platanoides","21.0","No","Lawn Strip","9.0"
"POINT (-71.40179948160312 41.84725285524751)","95",,"COLONIAL RD","COLONIAL RD","CAMP ST","N MAIN ST","Front","2","Acer rubrum","6.0","No","Lawn Strip","3.0"
"POINT (-71.39832769953941 41.852805862353904)","165","Y","7TH ST","7TH ST","SUMMIT AVE","HIGHLAND AVE","Front","15","Prunus spp.","2.4","Yes","Lawn Strip","3.0"
"POINT (-71.43190737652655 41.81412079624631)","65",,"DEXTER ST","PARADE ST","CRANSTON ST","WESTMINSTER ST","Rear","25","Platanus x acerifolia","12.0","Yes","Lawn Strip","13.0"
"POINT (-71.3852362691215 41.84026694534565)","203",,"BLACKSTONE BLVD","LINCOLN AVE","BLACKSTONE BLVD","GROTTO AVE","Side","1","Cornus florida","8.6","No","Lawn - No Sidewalk","2.0"
"POINT (-71.38072345245783 41.832964866570244)","75",,"E ORCHARD ST","E ORCHARD ST","PATERSON ST","PARKSIDE DR","Front","3","Prunus spp.","2.6","Yes","Lawn Strip","2.0"
"POINT (-71.42050597655907 41.798193631269854)","168",,"HAMILTON ST","HAMILTON ST","ATLANTIC AVE","LEXINGTON AVE","Front","1","Ostrya virginiana","2.0","No","Sidewalk Pit","9.0"
"POINT (-71.42121138760936 41.80488986698187)","41",,"MOORE ST","MOORE ST","BROAD ST","UPDIKE ST","Front","1","Quercus phellos","2.5","No","Lawn Strip","11.0"
"POINT (-71.40327990902504 41.83079138063869)","184",,"BOWEN ST","BOWEN ST","THAYER ST","BROWN ST","Front","1","Acer platanoides","24.1","No","Lawn Strip","2.0"
"POINT (-71.4244794121412 41.82950162701099)","395",,"PROMENADE ST","PROMENADE ST","BATH ST","PLEASANT VALLEY PKWY","Front","1","Pyrus calleryana","9.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.40214357364411 41.79116772603566)","230",,"GEORGIA AVE","GEORGIA AVE","EDDY ST","VIRGINIA AVE","Front","1","Pyrus calleryana","2.0","Yes","Sidewalk Pit","10.0"
"POINT (-71.41618587467758 41.85486795494569)","38",,"JOB ST","JOB ST","DEPINEDO ST","LEDGE ST","Front","4","Acer platanoides","8.0","No","Lawn - No Sidewalk","4.0"
"POINT (-71.42320830624551 41.823443835005364)","163",,"ATWELLS AVE","BOND ST","SPRUCE ST","ATWELLS AVE","Side","2","Acer rubrum","15.2","No","Sidewalk Pit","13.0"
"POINT (-71.39934943627928 41.844301949557064)","155",,"IVY ST","ELGIN ST","FIRGLADE AVE","IVY ST","Side","2","Acer rubrum","16.5","No","Lawn Strip","3.0"
"POINT (-71.40921903769585 41.7881362023535)","164",,"CALLA ST","CALLA ST","OGANDO ST","CACTUS ST","Front","1","Zelkova serrata","13.0","Yes","Lawn Strip","9.0"
