"agency","invoice_date","client_reference","program_year","city","county","zip","unit_ownership","housing_unit_type","elderly","children","disabled_occupants","native_american_occupants","other_occupants","total_occupants","primary_heating_fuel","utility","unit_year_built","unit_size","unit_stories","auditor","wx_contractor","hvac_contractor","final_inspector","pre_wx_test_cfm","post_wx_test_cfm","total_cfm_difference","funding_assignment","furnace_replacement","total_invoice_cost","po_amount_wap_base","po_amount_rggi_wap","po_amount_wap_utility","po_amount_liheap","hs_amount_wap_base","hs_amount_rggi_wap","hs_amount_wap_utility","hs_amount_liheap"
"Catholic Charities","2017-01-12T00:00:00.000","N16-1314716093","2016","Wilmington","New Castle","19805","Own","Single-Family Detached","0","2","0","0","0","3","Oil","Delmarva","1955","1944","1","Steve C.","Efficient Home",,"Steve C.","1589","1172","417","WAP UTILITY","N","4798.06",,,"3421.92",,,,"1376.14",
"Catholic Charities","2017-01-12T00:00:00.000","K16-1715193157","2016","Dover","Kent","19901","Own","Mobile Home","1","1","0","0","0","3","Propane","Delmarva/Paradee Gas","1994","1008","1","Gary H.","RS Bauer",,"Gary H.","2815","1724","1091","WAP UTILITY","N","5596.35",,,"4865.35",,,,"731.00",
"Catholic Charities","2017-01-13T00:00:00.000","S15-1856499755","2016","Millsboro","Sussex","19966","Own","Mobile Home","2","0","1","0","0","2","Propane","Delmarva/Sharp Energy","1992","1512","1","Gary H.","RS Bauer",,"Gary H.","2610","1720","890","WAP UTILITY","N","6874.16",,,"6019.20",,,,"854.96",
"Catholic Charities","2017-01-17T00:00:00.000","S16-1021988704","2016","Laurel","Sussex","19956","Own","Mobile Home","2","0","3","0","0","3","Kerosene","DEC/Peninsula","1979","814","1","Gary H.","RS Bauer",,"Gary H.","3913","2378","1535","RGGI WAP","N","5671.50",,"4938.50",,,,"733.00",,
"Catholic Charities","2017-01-17T00:00:00.000","N15-1005128005","2016","Wilmington","New Castle","19805","Own","Single-Family Attached","0","0","0","0","0","1","Gas","Delmarva","1923","1025","2","Steve C.","Efficient Home",,"Steve C.","2959","2156","803","WAP UTILITY","N","4638.60",,,"3862.60",,,,"776.00",
"Catholic Charities","2017-01-17T00:00:00.000","N14-1635301875","2016","Wilmington","New Castle","19808","Own","Single-Family Detached","1","1","1","0","0","3","Gas","Delmarva","1961","2063","1","Ed W.","Efficient Home",,"Steve C.","4122","2810","1312","WAP UTILITY","N","7473.56",,,"5785.56",,,,"1688.00",
"Catholic Charities","2017-01-17T00:00:00.000","N14-722117939","2016","Wilmington","New Castle","19805","Own","Single-Family Detached","0","2","0","0","0","2","Oil","Delmarva/Hillside","1950","1500","2","Ed W.","Efficient Home",,"Steve C.","3893","3289","604","WAP UTILITY","N","4827.73",,,"4141.73",,,,"686.00",
"Catholic Charities","2017-01-19T00:00:00.000","S16-1407689117","2016","Lincoln","Sussex","19960","Own","Single-Family Detached","0","1","0","0","0","2","Electric","DEC","2012","1794","2","Gary H.","Free Lighting Corp",,"Gary H.","2641","2389","252","RGGI WAP","N","2094.10",,"1448.10",,,,"646.00",,
"Catholic Charities","2017-01-23T00:00:00.000","K16-1660157275","2016","Dover","Kent","19901","Own","Mobile Home","0","0","1","0","0","1","Propane","Delmarva/Paradee Gas","1989","924","1","Gary H.","Free Lighting Corp",,"Gary H.","1498","900","598","WAP UTILITY","N","4901.75",,,"4181.75",,,,"720.00",
"Catholic Charities","2017-01-23T00:00:00.000","S16-989555357","2016","Ellendale","Sussex","19941","Own","Single-Family Detached","0","0","0","0","0","1","Electric","DEC","1996","1344","1","Gary H.","Free Lighting Corp",,"Gary H.","989","895","94","RGGI WAP","N","2584.76",,"2128.76",,,,"456.00",,
"Catholic Charities","2017-01-23T00:00:00.000","K15-2116106479","2016","Felton","Kent","19943","Own","Mobile Home","0","1","0","0","0","2","Oil","DEC/Midstate Fuel","1975","1344","1","Gary H.","RS Bauer",,"Gary H.","3519","1839","1680","RGGI WAP","N","9182.20",,"8574.20",,,,"608.00",,
"Catholic Charities","2017-01-23T00:00:00.000","S16-55805284","2016","Frankford","Sussex","19945","Own","Single-Family Detached","2","0","0","0","0","2","Electric","Delmarva","1972","1152","1","Gary H.","RS Bauer",,"Gary H.","1882","1492","390","WAP UTILITY","N","3381.04",,,"2364.04",,,,"1017.00",
"Catholic Charities","2017-01-23T00:00:00.000","S15-1611837839","2016","Seaford","Sussex","19973","Own","Mobile Home","0","0","0","0","0","3","Oil","DEC/Adams Oil","1974","576","1","Gary H.","RS Bauer",,"Gary H.","2476","1200","1276","RGGI WAP","N","5255.70",,"4008.70",,,,"1247.00",,
"Catholic Charities","2017-01-24T00:00:00.000","K16-40665792","2016","New Castle","New Castle","19938","Own","Mobile Home","0","0","0","0","0","1","Oil","DEC/Carl King","1965","1364","1","Gary H.","RS Bauer",,"Gary H.","3059","2152","907","RGGI WAP","N","6894.30",,"6216.30",,,,"678.00",,
"Catholic Charities","2017-01-24T00:00:00.000","K16-1819319199","2016","Felton","Kent","19943","Own","Mobile Home","1","0","1","0","0","1","Propane","DEC/Sharp Energy","1988","924","1","Gary H.","RS Bauer",,"Gary H.","3159","1597","1562","RGGI WAP","N","6824.45",,"5602.45",,,,"1222.00",,
"Catholic Charities","2017-01-24T00:00:00.000","N15-754046428","2016","Claymont","New Castle","19703","Own","Single-Family Detached","0","3","0","0","0","5","Oil","Delmarva/Ace Fuel","1955","1109","2","Steve C.","Efficient Home",,"Steve C.","3428","2304","1124","WAP UTILITY","N","5903.21",,,"4017.96",,,,"1885.25",
"Catholic Charities","2017-01-27T00:00:00.000","S16-1083001191","2016","Lewes","Sussex","19958","Own","Mobile Home","1","0","1","0","0","1","Propane","Delmarva/Suburban Pro","1986","938","1","Gary H.","Free Lighting Corp",,"Gary H.","2752","1052","1700","WAP UTILITY","N","5311.00",,,"4888.00",,,,"423.00",
"Catholic Charities","2017-01-31T00:00:00.000","N15-1248647850","2016","New Castle","New Castle","19720","Own","Single-Family Detached",,,,,,,"Gas","Delmarva","1952","1260","1","Steve C.","Efficient Home",,"Steve C.","3210","2576","634","WAP BASE","N","190.50",,,,,"190.50",,,
"Catholic Charities","2017-01-31T00:00:00.000","N16-93634515","2016","Newark","New Castle","19702","Own","Single-Family Detached","0","0","0","0","0","2","Oil","Delmarva","1965","1889","2","Steve C.","Efficient Home",,"Steve C.","3354","2532","822","WAP UTILITY","N","5291.29",,,"3141.29",,,,"2150.00",
"Catholic Charities","2017-01-31T00:00:00.000","N16-171588236","2016","New Castle","New Castle","19720","Own","Single-Family Detached","2","4","0","0","0","7","Gas","Delmarva","1971","1821","2","Steve C.","Efficient Home",,"Steve C.","3858","2248","1610","WAP UTILITY","N","5270.54",,,"4021.54",,,,"1249.00",
"Catholic Charities","2017-02-01T00:00:00.000","N15-136115603","2016","Newark","New Castle","19713","Own","Single-Family Detached","1","0","0","0","0","3","Electric","Delmarva","1974","1750","2","Steve C.","Efficient Home",,"Steve C.","2496","1854","642","WAP UTILITY","N","3939.35",,,"2352.60",,,,"1586.75",
"Catholic Charities","2017-02-03T00:00:00.000","S16-116075064","2016","Millsboro","Sussex","19966","Own","Mobile Home","1","0","1","0","0","1","Propane","Delmarva/Suburban Pro","1983","1164","1","Gary H.","RS Bauer",,"Gary H.","3760","2004","1756","WAP UTILITY","N","5828.93",,,"5325.93",,,,"503.00",
"Catholic Charities","2017-02-07T00:00:00.000","S16-53915832","2016","Lewes","Sussex","19958","Own","Mobile Home","0","0","0","0","0","2","Propane","DEC/Suburban Propane","1984","938","1","Gary H.","RS Bauer",,"Gary H.","2815","1420","1395","RGGI WAP","N","5607.20",,"4867.20",,,,"740.00",,
"Catholic Charities","2017-02-07T00:00:00.000","N14-285673835","2016","Wilmington","New Castle","19802","Own","Single-Family Attached","1","0","0","0","0","2","Gas","Delmarva","1913","1752","2","Ed W.","Pfaff Brothers",,"Steve C.","4212","2992","1220","WAP UTILITY","N","5473.10",,,"4208.85",,,,"1264.25",
"Catholic Charities","2017-02-08T00:00:00.000","K15-65606462","2016","Magnolia","Kent","19962","Rent","Mobile Home","1","0","0","0","0","1","Propane","DEC/Sharp Energy","1994","924","1","Gary H.","Total Home Performance","RS Bauer","Gary H.","1725","1135","590","RGGI WAP","Y","8288.00",,"4774.00",,,,"3514.00",,
"Catholic Charities","2017-02-08T00:00:00.000","S15-129011006","2016","Laurel","Sussex","19956","Own","Mobile Home","1","0","1","0","0","1","Oil","Delmarva/Peninsula","1985","840","1","Gary H.","Free Lighting Corp",,"Gary H.","2815","2080","735","WAP UTILITY","N","5742.95",,,"4298.95",,,,"1444.00",
"Catholic Charities","2017-02-10T00:00:00.000","S16-944690507","2016","Millsboro","Sussex","19966","Own","Mobile Home","0","3","1","0","0","5","Propane","DEC/Wilson Baker","1995","1064","1","Gary H.","Free Lighting Corp",,"Gary H.","1840","990","850","RGGI WAP","N","5768.45",,"4907.45",,,,"861.00",,
"Catholic Charities","2017-02-10T00:00:00.000","S16-1513056015","2016","Bridgeville","Sussex","19933","Own","Mobile Home","0","3","1","0","0","4","Propane","DEC/Poore's Propane","1988","924","1","Gary H.","Free Lighting Corp",,"Gary H.","2120","1429","691","RGGI WAP","N","5878.25",,"4715.25",,,,"1163.00",,
"Catholic Charities","2017-02-10T00:00:00.000","N14117461072","2016","New Castle","New Castle","19720","Own","Single-Family Detached","0","2","0","0","0","4","Gas","Delmarva","1954","2016","2","Steve C.","Pfaff Brothers",,"Steve C.","2573","1492","1081","WAP UTILITY","N","6034.22",,,"5204.47",,,,"829.75",
"Catholic Charities","2017-02-13T00:00:00.000","S15-361459546","2016","Delmar","Sussex","19940","Own","Mobile Home","0","0","1","0","0","1","Propane","DEC/Poore's Propane","1998","1566","1","Gary H.","Free Lighting Corp",,"Gary H.","2952","2884","68","RGGI WAP","N","6789.40",,"6293.40",,,,"496.00",,
"Catholic Charities","2017-02-14T00:00:00.000","N16-1149377195","2016","New Castle","New Castle","19720","Own","Single-Family Detached","1","0","0","0","0","1","Electric","Delmarva","1965","2050","1","Steve C.","Military Construction",,"Steve C.","1826","1436","390","WAP UTILITY","N","2434.10",,,"980.10",,,,"1454.00",
"Catholic Charities","2017-02-14T00:00:00.000","S16-467171918","2016","Millsboro","Sussex","19966","Own","Mobile Home","0","0","1","0","0","1","Propane","Delmarva/Suburban Pro","1995","1316","1","Gary H.","RS Bauer",,"Gary H.","1665","1042","623","LIHEAP","N","6281.70",,,,"5813.70",,,,"468.00"
"Catholic Charities","2017-02-16T00:00:00.000","S16-853260463","2016","Ellendale","Sussex","19941","Own","Mobile Home","1","0","1","0","0","1","Electric","DEC","1984","924","1","Gary H.","Free Lighting Corp",,"Gary H.","1208","845","363","RGGI WAP","N","4594.45",,"4164.45",,,,"430.00",,
"Catholic Charities","2017-02-16T00:00:00.000","S16-655742652","2016","Lincoln","Sussex","19960","Own","Single-Family Detached","0","1","0","0","0","2","Electric","Delmarva","1965","1152","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2125","1478","647","WAP UTILITY","Y","7282.96",,,"2591.96",,,,"4691.00",
"Catholic Charities","2017-02-17T00:00:00.000","S16-690376088","2016","Ellendale","Sussex","19941","Own","Mobile Home","1","0","0","0","0","1","Electric","Delmarva","2005","920","1","Gary H.","Free Lighting Corp",,"Gary H.","2010","982","1028","WAP UTILITY","N","4896.90",,,"4470.90",,,,"426.00",
"Catholic Charities","2017-02-17T00:00:00.000","S15-1623806625","2016","Millsboro","Sussex","19966","Own","Mobile Home","1","0","0","0","0","1","Propane","DEC/Bob Willey","1981","1164","1","Gary H.","First Class HVAC",,"Gary H.","4288","2740","1548","RGGI WAP","N","6456.35",,"5906.35",,,,"550.00",,
"Catholic Charities","2017-10-05T00:00:00.000","K17-117674313","2017","Camden","Kent","19934","Own","Mobile Home","0","0","1","0","0","1","Oil","DEC/Kent Oil","1983","728","1","Gary H.","RS Bauer",,"Gary H.","2843","1300","1543","WAP BASE","y","8571.85","4481.85",,,,"4090.00",,,
"Catholic Charities","2017-02-22T00:00:00.000","N14-272030146","2016","Newark","New Castle","19713","Own","Single-Family Detached","0","1","0","0","0","2","Oil","Delmarva/Discount Oil","1977","2081","1","Ed W.","Efficient Home",,"Steve C.","3341","2267","1074","WAP UTILITY","N","4540.90",,,"2884.40",,,,"1656.50",
"Catholic Charities","2017-02-27T00:00:00.000","S16-620084751","2016","Lincoln","Sussex","19960","Own","Mobile Home","1","0","1","0","0","1","Electric","DEC","1995","1216","1","Gary H.","Free Lighting Corp",,"Gary H.","2559","1330","1229","RGGI WAP","N","6080.25",,"5642.25",,,,"438.00",,
"Catholic Charities","2017-03-01T00:00:00.000","N14-1794795842","2016","Middletown","New Castle","19709","Own","Single-Family Detached","0","1","1","0","0","3","Electric","Town of Middletown","1991","950","1","Ed W.","Pfaff Brothers",,"Steve C.","1078","826","252","RGGI WAP","N","4173.10",,"2712.10",,,,"1461.00",,
"Catholic Charities","2017-03-01T00:00:00.000","S16-72540276","2016","Long Neck Village","Sussex","19966","Own","Mobile Home","1","0","0","0","0","1","Propane","DEC/Bob Willey","1988","1296","1","Gary H.","RS Bauer",,"Gary H.","2168","1310","858","RGGI WAP","N","7261.63",,"6650.50",,,,"611.13",,
"Catholic Charities","2017-03-01T00:00:00.000","S16-64462584","2016","Ellendale","Sussex","19941","Own","Mobile Home","0","3","1","0","0","5","Propane","DEC/Poore's Propane","2006","1344","1","Gary H.","Free Lighting Corp",,"Gary H.","1255","853","402","RGGI WAP","N","5376.90",,"4903.90",,,,"473.00",,
"Catholic Charities","2017-03-01T00:00:00.000","S16-7381965","2016","Rehoboth","Sussex","19971","Own","Mobile Home","0","0","0","0","0","1","Propane","Delmarva/Suburban Pro","1979","938","1","Gary H.","RS Bauer",,"Gary H.","2479","1640","839","WAP UTILITY","N","6277.53",,,"4776.40",,,,"1501.13",
"Catholic Charities","2017-03-01T00:00:00.000","K15-460389294","2016","Frederica","Kent","19946","Own","Mobile Home","0","1","0","0","0","2","Propane","Delmarva/Peninsula","1998","1296","1","Gary H.","First Class HVAC",,"Gary H.","1235","1045","190","WAP UTILITY","N","5862.15",,,"5260.15",,,,"602.00",
"Catholic Charities","2017-03-02T00:00:00.000","K15-1671890741","2016","Magnolia","Kent","19962","Own","Single-Family Detached","1","0","1","0","0","1","Electric","DEC","1930","1552","1","Gary H.","Free Lighting Corp",,"Gary H.","2846","2000","846","RGGI WAP","N","6931.98",,"5170.98",,,,"1761.00",,
"Catholic Charities","2017-03-03T00:00:00.000","S16-60726884","2016","Ocean View","Sussex","19970","Own","Mobile Home","1","0","0","0","0","1","Propane","Delmarva/Peninsula","1989","1248","1","Gary H.","Free Lighting Corp",,"Gary H.","3215","1316","1899","LIHEAP","N","7151.00",,,,"6503.00",,,,"648.00"
"Catholic Charities","2017-03-03T00:00:00.000","S15-1912309855","2016","Laurel","Sussex","19956","Own","Single-Family Detached","0","2","0","0","0","3","Oil","Delmarva/Carl King","1910","2346","2","Gary H.","Free Lighting Corp",,"Gary H.","6280","6275","5","WAP UTILITY","N","14681.30",,,"12349.30",,,,"2332.00",
"Catholic Charities","2017-03-08T00:00:00.000","K16-769190856","2016","Dover","Kent","19901","Own","Mobile Home","0","0","2","0","0","2","Propane","City of Dover/Peninsula","1978","924","1","Gary H.","First Class HVAC",,"Gary H.","2815","1670","1145","LIHEAP","N","5551.25",,,,"4854.25",,,,"697.00"
"Catholic Charities","2017-03-09T00:00:00.000","S16-1053273640","2016","Lincoln","Sussex","19960","Own","Mobile Home","0","0","1","0","0","2","Propane","DEC/Southern States","1984","728","1","Gary H.","RS Bauer",,"Gary H.","2479","1255","1224","LIHEAP","N","5819.13",,,,"4548.00",,,,"1271.13"
"Catholic Charities","2017-03-13T00:00:00.000","K16-1110847773","2016","Felton","Kent","19943","Own","Mobile Home","1","0","1","0","0","2","Propane","DEC/Poore's Propane","1992","1944","1","Gary H.","RS Bauer",,"Gary H.","4368","3098","1270","LIHEAP","N","8562.75",,,,"8139.75",,,,"423.00"
"Catholic Charities","2017-03-13T00:00:00.000","S16-495464328","2016","Seaford","Sussex","19973","Own","Single-Family Detached","1","0","0","0","0","2","Oil","Delmarva/Peninsula","1952","1365","2","Gary H.","RS Bauer",,"Gary H.","2864","1830","1034","LIHEAP","N","10053.31",,,,"7826.05",,,,"2227.26"
"Catholic Charities","2017-03-13T00:00:00.000","K16-1984013256","2016","Dover","Kent","19904","Own","Single-Family Attached","1","0","0","0","0","1","Electric","City of Dover/Chesapeake","1991","1620","2","Gary H.","RS Bauer",,"Gary H.","2815","2006","809","LIHEAP","N","2395.60",,,,"1573.60",,,,"822.00"
"Catholic Charities","2017-03-15T00:00:00.000","N16-1743913400","2016","New Castle","New Castle","19720","Own","Single-Family Detached","0","1","0","0","0","2","Electric","Delmarva","1953","960","1","Steve C.","Efficient Home",,"Steve C.","1851","1451","400","WAP UTILITY","N","3101.55",,,"2404.55",,,,"697.00",
"Catholic Charities","2017-03-15T00:00:00.000","K161074393356","2016","Dover","Kent","19901","Own","Single-Family Attached","0","1","0","0","0","2","Gas","City of Dover/Chesapeake","2002","2064","3","Gary H.","Free Lighting Corp",,"Gary H.","2299","2094","205","LIHEAP","N","2020.20",,,,"1379.20",,,,"641.00"
"Catholic Charities","2017-03-16T00:00:00.000","N14-1940889672","2016","Wilmington","New Castle","19805","Own","Single-Family Attached","0","0","0","0","0","1","Gas","Delmarva","1944","1615","2","Ed W.","Efficient Home",,"Steve C.","3482","2727","755","WAP UTILITY","Y","9769.09",,,"2752.09",,,,"7017.00",
"Catholic Charities","2017-03-17T00:00:00.000","S16-1984232098","2016","Bridgeville","Sussex","19933","Rent","Single-Family Detached","2","1","0","0","0","3","Electric","Delmarva","1993","760","1","Gary H.","Free Lighting Corp",,"Gary H.","1734","1213","521","LIHEAP","N","3039.80",,,,"2536.80",,,,"503.00"
"Catholic Charities","2017-03-20T00:00:00.000","N15-2061665966","2016","Wilmington","New Castle","19810","Own","Single-Family Detached",,,,,,,,,,,,"Steve C.","Efficient Home","Efficient Home","Steve C.",,,,"RGGI WAP","N",,,,,,,"1270.00",,
"Catholic Charities","2017-03-20T00:00:00.000","N15-1012217693","2016","Newark","New Castle","19711","Own","Single-Family Detached","0","0","0","0","0","3","Gas","Delmarva","1959","1900","1","Steve C.","Efficient Home",,"Steve C.","1813","1505","308","WAP UTILITY","N","3811.52",,,"2459.52",,,,"1352.00",
"Catholic Charities","2017-03-22T00:00:00.000","K15-696983348","2016","Marydel","Kent","19964","Own","Mobile Home","1","0","1","0","0","1","Propane","DEC/Schagrin","1963","920","1","Gary H.","Efficient Home",,"Gary H.","2681","1812","869","LIHEAP","N","3871.20",,,,"3089.20",,,,"782.00"
"Catholic Charities","2017-03-22T00:00:00.000","N16-54280110","2016","Middletown","New Castle","19709","Own","Single-Family Detached","1","0","0","0","0","1","Electric","Delmarva","1989","2016","1","Steve C.","RS Bauer",,"Steve C.","2688","2209","479","WAP UTILITY","N","4155.17",,,"2828.06",,,,"1327.11",
"Catholic Charities","2017-03-28T00:00:00.000","S16-1656646020","2016","Millsboro","Sussex","19966","Own","Mobile Home","0","0","1","0","0","1","Propane","DEC/Bob Willey","1972","798","1","Gary H.","Free Lighting Corp",,"Gary H.","3057","1807","1250","LIHEAP","N","6234.10",,,,"5579.10",,,,"655.00"
