"rowid","schoolyear","organizationlevel","organizationid","organizationname","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","programdesignid","programdesign","languageid","languageofinstruction","programmodel","dl_lowestgradelevelcode","dl_highestgradelevelcode","websiteduallanguageeducation","hasdlprogramming","dataasof","latitude","longitude","physicaladdress","mailingaddress","districtcountdlschools","districtcountdlprograms"
"534","2016-17","School","101477","Beaver Lake Middle School","King","Puget Sound Educational Service District 121","100006","17411","Issaquah School District","100111","4460","Beaver Lake Middle School","101477","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.580011","-122.005832","25025 SE 32ND ST, ISSAQUAH, Washington, 98029-7738","25025 SE 32ND ST, ISSAQUAH, Washington, 98029-7738","0","0"
"535","2016-17","School","100451","Beaver Valley School","Chelan","North Central Educational Service District 171","100008","4228","Cascade School District","100034","4566","Beaver Valley School","100451","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.769747","-120.665182","19265 Beaver Valley Rd, Leavenworth, Washington, 98826-0000","19265 Beaver Valley Rd, Leavenworth, Washington, 98826-0000","0","0"
"536","2016-17","School","102365","BECC","Skagit","Northwest Educational Service District 189","100009","29100","Burlington-Edison School District","100030","1650","BECC","102365","S","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.475809","-122.322337","927 E FAIRHAVEN AVE, BURLINGTON, Washington, 98233-0000","927 E FAIRHAVEN AVE, BURLINGTON, Washington, 98233-0000","1","1"
"537","2016-17","School","100847","Beezley Springs Elementary","Grant","North Central Educational Service District 171","100008","13165","Ephrata School District","100081","4229","Beezley Springs Elementary","100847","S","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.32621669","-119.5498871","501 C ST NW, EPHRATA, Washington, 98823-0000","501 C ST NW, EPHRATA, Washington, 98823-0000","0","0"
"538","2016-17","School","101929","Belfair Elementary","Mason","Olympic Educational Service District 114","100005","23403","North Mason School District","100170","2662","Belfair Elementary","101929","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.438887","-122.833908","NE 22900 Hwy 3, Belfair, Washington, 98528-0000","NE 22900 Hwy 3, Belfair, Washington, 98528-0000","0","0"
"539","2016-17","School","105341","Bellevue Big Picture School","King","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","5240","Bellevue Big Picture School","105341","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.59212964","-122.1411569","14844 SE 22nd Street, Bellevue, Washington, 98007","14844 SE 22nd Street, Bellevue, Washington, 98007","4","4"
"540","2016-17","School","101357","Bellevue High School","King","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","2701","Bellevue High School","101357","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.604726","-122.19734","10416 Wolverine Way, Bellevue, Washington, 98004-6600","10416 Wolverine Way, Bellevue, Washington, 98004-6600","4","4"
"541","2016-17","School","105794","Bellingham Family Partnership Program","Whatcom","Northwest Educational Service District 189","100009","37501","Bellingham School District","100020","5366","Bellingham Family Partnership Program","105794","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.71892","-122.49374","1409 18th St, Bellingham, Washington, 98225-7201","1409 18th St, Bellingham, Washington, 98225-7201","0","0"
"542","2016-17","School","103061","Bellingham High School","Whatcom","Northwest Educational Service District 189","100009","37501","Bellingham School District","100020","2553","Bellingham High School","103061","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.75688","-122.473985","2020 Cornwall Ave, Bellingham, Washington, 98225-3648","2020 Cornwall Ave, Bellingham, Washington, 98225-3648","0","0"
"543","2016-17","School","105681","Bellingham Re-Engagement Program","Whatcom","Northwest Educational Service District 189","100009","37501","Bellingham School District","100020","5340","Bellingham Re-Engagement Program","105681","R","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.75927983","-122.4869095","1306 Dupont St, Bellingham, Washington, 98225","1306 Dupont St, Bellingham, Washington, 98225","0","0"
"544","2016-17","School","102698","Bemiss Elementary","Spokane","Educational Service District 101","100001","32081","Spokane School District","100247","2155","Bemiss Elementary","102698","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.68927","-117.375156","2323 E Bridgeport Ave, Spokane, Washington, 99207-5799","2323 E Bridgeport Ave, Spokane, Washington, 99207-5799","0","0"
"545","2016-17","School","100329","Benge Elementary","Adams","Educational Service District 101","100001","1122","Benge School District","100021","3142","Benge Elementary","100329","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.910734","-118.099876","2978 E BENGE WINONA RD, BENGE, Washington, 99105-0697","2978 E. Benge-Winona Rd., Benge, Washington, 99105-0697","0","0"
"546","2016-17","School","101536","Benjamin Franklin Elementary","King","Puget Sound Educational Service District 121","100006","17414","Lake Washington School District","100127","3591","Benjamin Franklin Elementary","101536","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.662251","-122.173301","12434 NE 60th, Kirkland, Washington, 98033-8722","12434 NE 60th, Kirkland, Washington, 98033-8722","0","0"
"547","2016-17","School","100537","Benjamin Franklin Elementary","Clark","Educational Service District 112","100003","6037","Vancouver School District","100278","3080","Benjamin Franklin Elementary","100537","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","45.659648","-122.678379","5206 FRANKLIN ST, VANCOUVER, Washington, 98663-1698","5206 FRANKLIN ST, VANCOUVER, Washington, 98663-1698","1","1"
"548","2016-17","School","101539","Benjamin Rush Elementary","King","Puget Sound Educational Service District 121","100006","17414","Lake Washington School District","100127","3703","Benjamin Rush Elementary","101539","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.661832","-122.138817","6101 152nd Ave NE, Redmond, Washington, 98052-4766","6101 152nd Ave NE, Redmond, Washington, 98052-4766","0","0"
"549","2016-17","School","101388","Bennett Elementary School","King","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","3705","Bennett Elementary School","101388","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.624538","-122.102192","17900 NE 16th Street, Bellevue, Washington, 98008","17900 NE 16th Street, Bellevue, Washington, 98008","4","4"
"550","2016-17","School","101341","Benson Hill Elementary School","King","Puget Sound Educational Service District 121","100006","17403","Renton School District","100216","3587","Benson Hill Elementary School","101341","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.434855","-122.187877","18665 116th Ave SE, Renton, Washington, 98058-7198","18665 116th Ave SE, Renton, Washington, 98058-7198","0","0"
"551","2016-17","School","105299","Benton County Jail","Benton","Educational Service District 123","100007","3017","Kennewick School District","100116","5235","Benton County Jail","105299","J","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.22169","-119.21906","7122 W Okanogan Place, Kennewick, Washington, 99337","7122 W Okanogan Place, Kennewick, Washington, 99337","6","6"
"552","2016-17","School","100372","Benton/Franklin Juvenile Justice Center","Benton","Educational Service District 123","100007","3017","Kennewick School District","100116","4007","Benton/Franklin Juvenile Justice Center","100372","J","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.22437313","-119.1957969","5606 WEST CANAL DRIVE, KENNEWICK, Washington, 99336-1300","5606 WEST CANAL DRIVE, KENNEWICK, Washington, 99336-1300","6","6"
"553","2016-17","School","103012","Berney Elementary School","Walla Walla","Educational Service District 123","100007","36140","Walla Walla Public Schools","100283","2074","Berney Elementary School","103012","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.061676","-118.299821","1718 PLEASANT ST, WALLA WALLA, Washington, 99362-3799","1718 PLEASANT ST, WALLA WALLA, Washington, 99362-3799","5","5"
"554","2016-17","School","102016","Bess Herian Elementary","Pend Oreille","Educational Service District 101","100001","26059","Cusick School District","100062","2770","Bess Herian Elementary","102016","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.336959","-117.298733","305 MONUMENTAL WAY, CUSICK, Washington, 99119-0000","305 MONUMENTAL WAY, CUSICK, Washington, 99119-9761","0","0"
"555","2016-17","School","106054","Bethel Elementary Learning Academy","Pierce","Puget Sound Educational Service District 121","100006","27403","Bethel School District","100022","5471","Bethel Elementary Learning Academy","106054","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.109793","-122.356","16117 Canyon Road East, Puyallup, Washington, 98375","16117 Canyon Road East, Puyallup, Washington, 98375","1","1"
"556","2016-17","School","102293","Bethel High School","Pierce","Puget Sound Educational Service District 121","100006","27403","Bethel School District","100022","2807","Bethel High School","102293","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.054524","-122.378089","22215 38th Avenue East, Spanaway, Washington, 98387-6828","22215 38th Ave E, Spanaway, Washington, 98387","1","1"
"557","2016-17","School","102295","Bethel Middle School","Pierce","Puget Sound Educational Service District 121","100006","27403","Bethel School District","100022","3250","Bethel Middle School","102295","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.05818","-122.378553","22201 38th Avenue East, Spanaway, Washington, 98387-6827","22201 38th Avenue East, Spanaway, Washington, 98387-6827","1","1"
"558","2016-17","School","106415","Bethel Virtual Academy","Pierce","Puget Sound Educational Service District 121","100006","27403","Bethel School District","100022","5633","Bethel Virtual Academy","106415","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.09673654","-122.4255309","516 176th st E, SPANAWAY, Washington, 98387","516 176th st E, SPANAWAY, Washington, 98387","1","1"
"559","2016-17","School","102814","Betz Elementary","Spokane","Educational Service District 101","100001","32360","Cheney School District","100042","2954","Betz Elementary","102814","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.495692","-117.577408","317 N 7TH, CHENEY, Washington, 99004-2298","317 N 7TH, CHENEY, Washington, 99004-1616","0","0"
"560","2016-17","School","102527","Beverly Elementary","Snohomish","Northwest Educational Service District 189","100009","31015","Edmonds School District","100075","3302","Beverly Elementary","102527","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.847228","-122.304883","5221 168th St SW, Lynnwood, Washington, 98037-3099","5221 168th St SW, Lynnwood, Washington, 98037-3099","0","0"
"561","2016-17","School","101265","Beverly Park Elem at Glendale","King","Puget Sound Educational Service District 121","100006","17401","Highline School District","100105","2765","Beverly Park Elem at Glendale","101265","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.509618","-122.317571","1201 S 104th St, Seattle, Washington, 98168-1549","1201 S 104th St, Seattle, Washington, 98168-1549","5","5"
"562","2016-17","School","101792","Bickleton Elementary & High Schl","Klickitat","Educational Service District 105","100002","20203","Bickleton School District","100023","3392","Bickleton Elementary & High Schl","101792","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","45.998617","-120.293366","3626 Bickleton Highway, Bickleton, Washington, 99322","3626 Bickleton Highway, Bickleton, Washington, 99322","0","0"
"563","2016-17","School","102379","Big Lake Elementary School","Skagit","Northwest Educational Service District 189","100009","29101","Sedro-Woolley School District","100230","2521","Big Lake Elementary School","102379","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.402052","-122.24133","16802 Lake View Blvd., Mount Vernon, Washington, 98274-8180","16802 Lake View Blvd., Mount Vernon, Washington, 98274-8180","0","0"
"564","2016-17","School","104145","Big Picture School","King","Puget Sound Educational Service District 121","100006","17401","Highline School District","100105","5028","Big Picture School","104145","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.4369212","-122.3280492","440 S 186th St, Burien, Washington, 98148","440 S 186th St, Burien, Washington, 98148","5","5"
"565","2016-17","School","105219","Bio Med Academy (Closed after 2016-2017 school year)","Snohomish","Northwest Educational Service District 189","100009","31025","Marysville School District","100142","5210","Bio Med Academy (Closed after 2016-2017 school year)","105219","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"566","2016-17","School","103060","Birchwood Elementary School","Whatcom","Northwest Educational Service District 189","100009","37501","Bellingham School District","100020","2431","Birchwood Elementary School","103060","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.774727","-122.506239","3200 Pinewood Ave, Bellingham, Washington, 98225-1436","3200 Pinewood Ave, Bellingham, Washington, 98225-1436","0","0"
